,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,무명칼국수,서울특별시 노원구 석계로7길 4,국수 / 면 요리,만원 미만,25,4.0
1,쪼매매운떡볶이,서울특별시 노원구 공릉로 208,기타 한식,만원 미만,45,3.9
2,털보고된이,서울특별시 노원구 노해로81길 22-22,한정식 / 백반 / 정통 한식,만원 미만,28,3.9
3,돈까스먹는용만이,서울특별시 노원구 한글비석로20길 52,기타 한식,만원 미만,14,3.8
4,제일콩집,서울특별시 노원구 동일로174길 37-8,한정식 / 백반 / 정통 한식,만원 미만,30,3.8
5,가재골수제비,서울특별시 노원구 동일로242길 100,국수 / 면 요리,만원 미만,11,3.6
6,공릉우동집,서울특별시 노원구 동일로192길 42,기타 한식,만원 미만,16,3.6
7,피노키오냉면,서울특별시 노원구 한글비석로 474 보람상가,국수 / 면 요리,만원 미만,13,3.5
8,홍대개미,서울특별시 노원구 동일로 1414 롯데백화점 노원점 B1F,퓨전 한식,만원 미만,10,3.0
9,제형면옥,서울특별시 노원구 공릉로65길 16,국수 / 면 요리,만원 미만,13,
10,엄마손칼국수,서울특별시 노원구 상계로39길 5,국수 / 면 요리,만원 미만,8,
11,신가네칼국수,서울특별시 노원구 공릉로59나길 78-14,국수 / 면 요리,만원 미만,6,
12,숲속왕돈까스,서울특별시 노원구 공릉로51길 4,기타 한식,만원 미만,2,
13,두끼,서울특별시 노원구 상계로3길 15 현우빌딩 2F,기타 한식,만원 미만,1,
14,이오냉면,서울특별시 노원구 상계로1길 38-11 1F,국수 / 면 요리,만원 미만,4,
15,제주몸냥,서울특별시 노원구 동일로241길 36,국수 / 면 요리,만원 미만,3,
16,며느리도몰라,서울특별시 노원구 노해로 517-9,기타 한식,만원 미만,5,
17,소라,서울특별시 노원구 화랑로55길 7 공릉아파트상가,기타 한식,만원 미만,3,
18,멍텅구리즉석떡볶이,서울특별시 노원구 공릉로51길 14-2,기타 한식,만원 미만,7,
19,아이엠돈까스,서울특별시 노원구 동일로198길 64,기타 한식,만원 미만,6,
20,유부김밥,서울특별시 노원구 한글비석로 396,기타 한식,만원 미만,2,
21,대가가마솥순대국,서울특별시 노원구 상계로 98 광복빌딩,탕 / 찌개 / 전골,만원 미만,2,
22,신전떡볶이,서울특별시 노원구 상계로 89,기타 한식,만원 미만,7,
23,소문난멸치국수,서울특별시 노원구 동일로173가길 81,국수 / 면 요리,만원 미만,6,
24,봉평산골메밀촌,서울특별시 노원구 공릉로 191-6,국수 / 면 요리,만원 미만,5,
25,전민규의황제누룽지탕,서울특별시 노원구 노해로77길 14-8,한정식 / 백반 / 정통 한식,만원 미만,3,
26,풍미연,서울특별시 노원구 노해로85길 7,탕 / 찌개 / 전골,만원 미만,3,
27,소문난기사식당,서울특별시 노원구 동일로192길 30,한정식 / 백반 / 정통 한식,만원 미만,5,
28,로스2000,서울특별시 노원구 광운로 41,고기 요리,만원 미만,2,
29,돈까스클럽,서울특별시 노원구 노원로 247,기타 한식,만원 미만,3,
30,최대섭대박김밥,서울특별시 노원구 한글비석로 415,기타 한식,만원 미만,4,
31,다미국수,서울특별시 노원구 상계로 75 노원빌딩,국수 / 면 요리,만원 미만,2,
32,절구시래기,서울특별시 노원구 동일로242길 123,탕 / 찌개 / 전골,만원 미만,1,
33,메밀마당,서울특별시 노원구 동일로217가길 39 대성빌딩 102호,국수 / 면 요리,만원 미만,1,
34,다이천 떡볶이,서울특별시 노원구 석계로 106,기타 한식,만원 미만,3,
35,신고집찜칼국수,서울특별시 노원구 노원로15길 51-30,국수 / 면 요리,만원 미만,4,
36,옛날칼국수,서울특별시 노원구 동일로 1417,국수 / 면 요리,만원 미만,2,
