,가게이름,리뷰,맛평가
0,무명칼국수,22-59석계역 근처에 꽤 높은 평점에 맛집이 나타났습니다국수홀릭인 저는 여기를 3번째만에 입장했습니다첫번째는 정기휴일 두번째는 6시쯤 방문을 했는데 쟤료소진이라고 하더군요20여분의 웨이팅 끝에 입장했습니다해물칼국수와 닭칼국수 그리고 다들 시키는 만두까지..해물 칼국수가 정말 독특하게 맛있군요맑은 국물이 아닌 묵직한 진한 국물이 감칠맛까지 있어서 정말 좋았습니다닭칼국수도 역시 묵직하게 진한 국물인데 밥이라면 닭죽이라고 할수도 있을것 같이 진합니다이 역시 괜찮았습니다만두는 맛이 있지만 젓가락으로 집으면 만두피가 다 뜯어져서 먹기가 힘들더군요바쁜데도 불구하고 젊은 남자 사장님은 친절하셨고 아버님같아 보이시는분은 수제만두를 계속 만들고 계시더군요오랜만에 맛있는 면 요리를 먹은 느낌입니다방문추천 95%친절도 상청결 중주차불가,맛있다
1,무명칼국수,"<노원구 투어 하>노원구 투어 마지막 날입니다 식당 오픈하는 시간에 맞춰서 체크아웃하고 식당으로 향했습니다오픈 시간 조금 넘어서 도착했는데 가게는 벌써 만석이고 십 분정도 대기하고 입장했습니다타지에서 온 사람은 저밖에 없는 것 같습니다거의 해물칼국수를 드시던데 저는 닭칼국수와 만두를 주문했습니다 저는 이상하게 날씨가 추워질수록 맑은 국물보다 탁한 국물이 더 땡깁니다음식이 나오기까지는 시간이 꽤나 걸렸습니다 중간중간 포장도 많이 해 가십니다닭칼국수는 면이 아주 쫄깃하고 살짝 굵은 스타일이라 좋습니다 국물 맛이 깊지는 않고 후추향이 강합니다 닭고기 고명도 얼마 안 들어있어서 조금 아쉽습니다 이북식 찜닭을 먹을 때에는 닭고기와 부추의 궁합이 아주 좋았는데 닭칼국수에서는 부추가 잘 안 어울리는 것 같습니다겉절이는 익히 아는 맛있는 맛입니다 칼국수와 잘 맞습니다여기 만두가 좀 독특합니다 피로 소를 완전히 감싸지 않고 밑에가 뚫려있습니다 먹으면 애호박 향이 은은하게 기분이 좋습니다 간은 굉장히 심심해서 간장이 꼭 필요하고 피는 너무 흐물거려서 제 스타일은 아닙니다칼국수 면, 만두의 애호박 향은 아주 좋았는데 나머지 부분은 그저 그랬던 것 같습니다평범한 동네 칼국숫집이었습니다 해물칼국수를 먹었어야하나 싶기도 합니다재방문 의사 : x",괜찮다
2,무명칼국수,"석계역에서 가볍게 먹기 좋은 칼국수 맛집!!골목이라 주차도 불편하고 식당도 넓은 곳은 아니지만, 일하시는분들이 무심한듯 하지만 친절하고 단출한 칼국수로 보이지만 정성을 들여 만드는 식당이지요^^메뉴도 몇가지 없지만, 이근처에 온다면 생각나는 해물칼국수!! 면을 만들기 위한 반죽/숙성부터 칼국수 두께~ 익힘 정도까지 신경쓰신 느낌이였고, 면이 너무 두껍지도 그리 얇지도 않게 쫀득하게 씹는 식감이 적당해서 좋았습니다~ 개인적으로 여기선 해물칼국수를 좋아하는데~ 맑은듯 보이지만 의외로 깊고 시원 깔끔한 국물을 자꾸 드링킹하게 됩니다.조개 상태도 좋았고 해감도 잘되어 있었어요~닭칼국수는 좀더 걸죽하여 닭죽 먹는 기분도 들구요~ 구수한 국물이라 해물칼국수와는 완전 다른 매력을 보여줍니다.칼국수에서 빠질 수 없는 김치도 느끼함을 잡아주거나 입맛 돋우는 자극제 역활을 잘하는거 같네요~가격대 착하고~ 군더더기 없는 깔끔한 칼국수라고 생각합니다.",맛있다
3,무명칼국수,무 하메드살라의 드리블 같은 면발과 (토트넘은 할말하않 ㅠ)명 현만의 왕주먹같은 만두에 상당히 감동했다.,맛있다
4,무명칼국수,개안음,괜찮다
5,무명칼국수,그럭저럭 나쁘지 않은 칼국수. 내 취향엔 조금 안맞았지만 맛있었다. 사람에 따라서는 굉장히 좋아할 맛,괜찮다
6,무명칼국수,여기진짜 맛집... 코로나시국+ 오후2시쯤에도 만석이였다.,맛있다
7,무명칼국수,칼국수 생각날땐 무조건 여기...,맛있다
8,무명칼국수,별점:⭐️맛있긴하지만.. 식당의 분위기가 활기찬 느낌이 아니다.. 일하는 분들이 많은데 다들 일하기 싫어하는 게 느껴져서 .. 맛은 있는데 음식의 에너지를 오롯이 다 받지 못하고 나가는 느낌? 그래도 칼국수 땡길 때 자주 갈 것 같다! ㅎㅎ,맛있다
9,무명칼국수,주문즉시 끓여서 시간이 조금 소요됩니다웨이팅이 꽤 길어요주차가 안되니 참고하세요 만두가 맛있었고 면이 맛있네요닭칼국수는 너무 많이아쉬웠어요전체적으로 육수의 깊은맛이 조금 아쉽네요,괜찮다
10,무명칼국수,"이 동네에 살기 시작할 때부터 가던 우리가족의 로컬 맛집 ! 작년정도부터 페북 등 매체에 뜨면서 사람이 더 많아졌다. 정말 정석 그대로의 칼국수. 아주 특별한 맛은 아니지만, 기본에만 충실해도 맛집이라는 것을 많은 사람들이 알 것이라고 생각한다..! 정말 기본에 충실한 , 정석 칼국수를 먹고싶다면 추천한다.",맛있다
11,무명칼국수,서울에서 먹은 칼국수 중 제일 괜찮았음ㅋㅋ,맛있다
12,무명칼국수,"해물칼국수, 콩국수, 만두국수가 쫄깃하고 만두가 좋았다.국물은 예상한 만큼..",괜찮다
13,무명칼국수,"노원 검색했을때 제일상위 3번째로 표시되서 간집평점보고 기대하고 들어간것치곤 생각보다 그렇게 맛있는 맛을 보여주진않았는데, 그냥 딱 생각하던 해물칼국수맛이었다.그래도 직접담그시는것으로 보이는 김치가 정말맛있었고해물칼국수에 들어가는 조개가 정말 푸짐하게 들어가있다는게 이집에 차별점이 아닐까싶다.",괜찮다
14,무명칼국수,드디어 칼국수 맛집 찾았다 ㅠㅠ 전반적으로 음식이 자극적이지 않고 신선하고 깨끗한 맛이라 부담이 없다,맛있다
15,무명칼국수,"총평 4.2/5.0 저렴한 가격에 진한 국물의 칼국수와 고소한 생김치를 맛볼 수 있는 곳. 이것만 먹으러 석계역으로까지 올 가치가 있다. 1. 진짜 ""칼""국수: 주문 즉시 바로 전통 방식대로 밀가루 반죽을 칼로 썰어서 면을 만든다. 많은 국수집에서 면을 기계로 뽑는데, 아직도 전통방식의 칼국수를 만드는 곳. 국수의 절단면이 살아있기 때문에 면의 식감이 제대로이다. 2. 진한 국물: 살짝 꾸덕한 느낌이 나는 진한 국물. 밀가루 면을 행구지 않고 그대로 넣고 끓여 가루가 섞여 나는 그런 텁텁 찐득한 꾸덕함은 아니고 떡국에서 맛볼 수 있는 그런 자연스럽게 꾸덕한 국물. 닭칼국수를 시켰는데 매우 진한 육수이면서도 전혀 기름지지가 않은 걸로 봐서 육수에 둥둥 뜨는 닭기름을 전부 떠낸 모양. 만점짜리 국물이다.3. 고소한 김치: 참기름에 버무린 이곳의 생김치는 아삭아삭하고 고소하다. 배추 특유의 살짝 달큰한 맛이 느껴지는 것으로 봐서 양질의 햇배추로 매번 만드는 모양.어렸을 적 할머니댁에서 맛보던 막 담은 김치의 그 신선하고 아삭아삭한 맛이다. 분위기: 허름한 동네 식당. 위생: 주방 환경은 그다지 위생적으로 보이진 않다.그래도 먹는 테이블, 의자, 식기, 물컵은 깨끗하다.",맛있다
16,무명칼국수,"유명한곳이길래 코로나 사태전 먹으러 갔었는데사람너무많아서 들어가지못하고 나왔던기억이..ㅎ커로나여서 사람별로없겠지 하고 갔는데사람많았다 ㅎㅎ..바글바글해서 좁은공간에좀 찝짭한것도 있었는데 음식이 너무맛있다 ㅎ바지락 닭 둘다 한개씩시켜서 먹었고개인적으로 닭칼은 후추맛이너무나더라 약간 꾸덕한 농도있는 국물이었는대바지락이 훠어ㄹ씬맛있었다먼저는 면이 직접하신건지 특이한데 일정하지 않은 굵기여서 쫀득하달까? 면이너무맛있고(불지 않고 꼬들함)바지락이 엄청 들어가있어서 칼국수먹는데 바다에 온것같은 기분을 느끼게해준다바지락칼국수 먹으면서 바다여행가고싶다는 생각이 들었다맛있고 가격도 안비싸고 사람이많아서 이 시국에 약간 신경이 쓰이지만. 앞으로 많이 갈거같다바지락 칼국수 이제껏 먹어본거중에 가장맛있었음다른곳보다 국물이 정말 시원함건새우 황태도 좀 들어가있던데 재료를 좋은걸 아끼지않고 쓰시는거같다집이 가깝기도 하지만 멀어도 찾아가서 먹을정도,",맛있다
17,무명칼국수,"손칼국수가 생각날 때 좋은 곳 :)해물 칼국수, 닭 칼국수, 왕만두 모두 7000원이고, 칼국수는 각 2인분씩 시켰어요! 주문과 동시에 면을 밀어서 칼국수를 내주시는데, 면의 굵기는 좀 자유분방하지만 (중간에 수제비도 같이 주신 줄 ^^!) 면 끼리 얽히지 않고 젓가락질을 하다가 잘릴 정도로 부드러워요.게다가 여기 엄청난 김치 맛집 (사실 칼국수집에 김치 먹으러 가는 거 아닌가요?) 이라서 양이 좀 많아 보이던 칼국수도 깔끔하게 다 먹을 수 있었습니다!단점이라면, 응대가 좋은 편이 아니에요. 같이 일하시는 분들끼리 소통하시는 게 좀 소란스럽기는 합니다 :(",맛있다
