,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,어머니대성집,서울특별시 동대문구 왕산로11길 4,탕 / 찌개 / 전골,만원 미만,15,4.4
1,안동집손칼국시,서울특별시 동대문구 고산자로36길 3 경동시장 B1,국수 / 면 요리,만원 미만,9,4.2
2,79번지국수집,서울특별시 동대문구 회기로13길 25,국수 / 면 요리,만원 미만,20,4.1
3,답십리별미,서울특별시 동대문구 답십리로48길 98,한정식 / 백반 / 정통 한식,만원 미만,10,4.1
4,춘천메밀막국수,서울특별시 동대문구 고산자로38길 25,국수 / 면 요리,만원 미만,7,4.1
5,고래돈가스,서울특별시 동대문구 안암로 154,기타 한식,만원 미만,25,4.1
6,성천막국수,서울특별시 동대문구 전농로 48,국수 / 면 요리,만원 미만,31,4.0
7,레알라면,서울특별시 동대문구 회기로25길 23-5,국수 / 면 요리,만원 미만,28,4.0
8,뚝닭,서울특별시 동대문구 제기로5길 31,닭 / 오리 요리,만원 미만,6,4.0
9,혜성칼국수,서울특별시 동대문구 왕산로 247-1,국수 / 면 요리,만원 미만,31,3.9
10,고향집,서울특별시 동대문구 왕산로37길 7,탕 / 찌개 / 전골,만원 미만,12,3.9
11,토성옥,서울특별시 동대문구 약령서길 28,탕 / 찌개 / 전골,만원 미만,5,3.9
12,여기가좋겠네,서울특별시 동대문구 회기로19길 18,닭 / 오리 요리,만원 미만,31,3.8
13,본가할머니보쌈,서울특별시 동대문구 휘경로 6-7,고기 요리,만원 미만,16,3.8
14,솔낭구,서울특별시 동대문구 회기로13길 11,한정식 / 백반 / 정통 한식,만원 미만,10,3.8
15,19뜯고맛보고,서울특별시 동대문구 전농로 221,고기 요리,만원 미만,9,3.8
16,평양냉면,서울특별시 동대문구 홍릉로 14-3,국수 / 면 요리,만원 미만,20,3.7
17,할머니냉면집,서울특별시 동대문구 왕산로37길 51,국수 / 면 요리,만원 미만,10,3.7
18,장안정,서울특별시 동대문구 답십리로 314,탕 / 찌개 / 전골,만원 미만,10,3.7
19,푸른하늘,서울특별시 동대문구 경희대로6길 3-4 1F,기타 한식,만원 미만,14,3.7
20,물고기,서울특별시 동대문구 이문로25길 36,기타 한식,만원 미만,15,3.6
21,39돈가스,서울특별시 동대문구 휘경로2길 5-2,기타 한식,만원 미만,11,3.6
22,고황24시 뼈다귀해장국감자탕,서울특별시 동대문구 경희대로1길 8-16,탕 / 찌개 / 전골,만원 미만,23,3.5
23,광주식당,서울특별시 동대문구 홍릉로1길 21-6,한정식 / 백반 / 정통 한식,만원 미만,15,3.5
24,자연밥상,서울특별시 동대문구 천장산로 42,기타 한식,만원 미만,12,3.5
25,도란도란야채곱창,서울특별시 동대문구 휘경로2길 5-7,고기 요리,만원 미만,14,3.4
26,독,서울특별시 동대문구 왕산로 278-1,고기 요리,만원 미만,12,3.4
27,부산밀면냉면,서울특별시 동대문구 경희대로4길 73 1F,국수 / 면 요리,만원 미만,12,3.4
28,방앗간,서울특별시 동대문구 고산자로28길 73,한정식 / 백반 / 정통 한식,만원 미만,9,
29,곰돌이돈까스,서울특별시 동대문구 한빛로1길 3,기타 한식,만원 미만,4,
30,장안면옥,서울특별시 동대문구 사가정로 258,국수 / 면 요리,만원 미만,4,
31,일광쪽갈비,서울특별시 동대문구 전농로 48,고기 요리,만원 미만,7,
32,장안설렁탕,서울특별시 동대문구 천호대로89길 3,탕 / 찌개 / 전골,만원 미만,1,
33,모두랑,서울특별시 동대문구 회기로23가길 20,기타 한식,만원 미만,4,
34,해물알탕전문,서울특별시 동대문구 전농로14길 12,해산물 요리,만원 미만,4,
35,군만두의달인,서울특별시 동대문구 전농로2가길 13,기타 한식,만원 미만,4,
