,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,아경면선,서울특별시 용산구 이촌로 248 한강맨션,국수 / 면 요리,만원 미만,20,4.0
1,더맛있는밥집,서울특별시 용산구 이촌로 278-1 B1,한정식 / 백반 / 정통 한식,만원 미만,16,3.7
2,스마일이촌떡볶이,서울특별시 용산구 이촌로65가길 72 동인상가 102호,기타 한식,만원 미만,18,3.4
3,봉자네,서울특별시 용산구 이촌로 182,기타 한식,만원 미만,5,
4,일미부대찌개스테이크,서울특별시 용산구 이촌로54길 13,탕 / 찌개 / 전골,만원 미만,4,
5,백령도바지락칼국수,서울특별시 용산구 이촌로 248,국수 / 면 요리,만원 미만,5,
6,솔낭구,서울특별시 용산구 이촌로77길 19,고기 요리,만원 미만,3,
7,회사랑,서울특별시 용산구 이촌로77길 19 1F,해산물 요리,만원 미만,3,
8,한강손만두,서울특별시 용산구 이촌로77길 19,한정식 / 백반 / 정통 한식,만원 미만,1,
9,맛있는밥집,서울특별시 용산구 이촌로65가길 72,한정식 / 백반 / 정통 한식,만원 미만,3,
10,소담,서울특별시 용산구 이촌로 200,한정식 / 백반 / 정통 한식,만원 미만,1,
11,봉식이옛날왕만두,서울특별시 용산구 이촌로 260,한정식 / 백반 / 정통 한식,만원 미만,1,
12,이촌참숯구이,서울특별시 용산구 이촌로77길 19 이촌종합상가,고기 요리,만원 미만,1,
13,청담동마녀김밥,서울특별시 용산구 양녕로 445,기타 한식,만원 미만,2,
14,가족김밥,서울특별시 용산구 이촌로 224,기타 한식,만원 미만,1,
15,동대문엽기떡볶이,서울특별시 용산구 이촌로 210 2F,기타 한식,만원 미만,1,
16,죠스떡볶이,서울특별시 용산구 이촌로 245 로얄상가 105호,기타 한식,만원 미만,2,
17,성북동집,서울특별시 용산구 이촌로 264,기타 한식,만원 미만,1,
18,르미야,서울특별시 용산구 이촌로77길 19 1F,퓨전 한식,만원-2만원,29,3.8
19,이촌동면옥,서울특별시 용산구 이촌로54길 17,고기 요리,만원-2만원,9,3.8
20,솜씨,서울특별시 용산구 이촌로65가길 78,한정식 / 백반 / 정통 한식,만원-2만원,18,3.3
21,생선씨,서울특별시 용산구 이촌로 260 삼익상가 1F 110호,해산물 요리,만원-2만원,3,
22,정 한뿌리죽,서울특별시 용산구 이촌로 245 로얄상가 202호,탕 / 찌개 / 전골,만원-2만원,5,
23,슈퍼스타떡볶이,서울특별시 용산구 한강대로 58,기타 한식,만원-2만원,1,
24,봉추찜닭,서울특별시 용산구 이촌로65가길 78,닭 / 오리 요리,만원-2만원,2,
25,한강치킨,서울특별시 용산구 이촌로75길 12,닭 / 오리 요리,만원-2만원,11,
26,마산아구찜,서울특별시 용산구 이촌로58길 12,해산물 요리,만원-2만원,3,
27,세가치치킨,서울특별시 용산구 이촌로75길 10-7,닭 / 오리 요리,만원-2만원,3,
28,마사,서울특별시 용산구 이촌로77길 19,한정식 / 백반 / 정통 한식,만원-2만원,1,
29,토성아구찜,서울특별시 용산구 이촌로77길 19,해산물 요리,만원-2만원,1,
30,삼삼횟집,서울특별시 용산구 이촌로65가길 78,해산물 요리,만원-2만원,1,
31,곱사랑,서울특별시 용산구 이촌로75길 22,고기 요리,만원-2만원,1,
32,깐부치킨,서울특별시 용산구 이촌로77길 19,닭 / 오리 요리,만원-2만원,3,
33,이촌스테이크,서울특별시 용산구 이촌로54길 13,탕 / 찌개 / 전골,만원-2만원,2,
34,네네치킨,서울특별시 용산구 이촌로 46,닭 / 오리 요리,만원-2만원,1,
35,BHC치킨,서울특별시 용산구 이촌로14길 11-6 시범아파트 1동 102호,닭 / 오리 요리,만원-2만원,1,
36,석이네숯불구이,서울특별시 용산구 이촌로75길 16-5 1F,고기 요리,만원-2만원,1,
37,니꼬니꼬by roh,서울특별시 용산구 이촌로77길 19  2F,고기 요리,2만원-3만원,1,
38,오통영충무김밥,서울특별시 용산구 이촌로 300,해산물 요리,3만원-4만원,18,3.4
39,초록바구니,서울특별시 용산구 이촌로84길 9-18,한정식 / 백반 / 정통 한식,3만원-4만원,4,
40,동촌,서울특별시 용산구 이촌로75길 16-9,고기 요리,3만원-4만원,3,
41,동문우동집,서울특별시 용산구 이촌로 290 점보상가 1F,라멘 / 소바 / 우동,만원 미만,16,
42,이자카야후우링,서울특별시 용산구 이촌로75길 16-9,이자카야 / 오뎅 / 꼬치,만원 미만,6,
43,미타스,서울특별시 용산구 이촌로75길 16-9,이자카야 / 오뎅 / 꼬치,만원-2만원,7,4.4
44,스즈란테이,서울특별시 용산구 이촌로 245 로얄상가 B1,정통 일식 / 일반 일식,만원-2만원,82,4.3
45,모모야,서울특별시 용산구 이촌로 248,까스 요리,만원-2만원,15,3.9
46,미타니야,서울특별시 용산구 이촌로 264 삼익아파트 지하상가,정통 일식 / 일반 일식,만원-2만원,25,3.7
47,아지겐,서울특별시 용산구 이촌로75길 22,정통 일식 / 일반 일식,만원-2만원,18,3.5
48,후스시,서울특별시 용산구 이촌로 245 로얄상가 201호,회 / 스시,만원-2만원,3,
49,니와,서울특별시 용산구 이촌로75길 22,철판 요리,만원-2만원,5,
50,김뿌라,서울특별시 용산구 이촌로 303 현대아파트상가 1F,회 / 스시,만원-2만원,6,
51,수락,서울특별시 용산구 서빙고로 17 용산센트럴파크 해링턴스퀘어상가 1F 110호,라멘 / 소바 / 우동,만원-2만원,4,
52,아트스시,서울특별시 용산구 이촌로 248 31동 104호,회 / 스시,만원-2만원,4,
53,현스시,서울특별시 용산구 이촌로 319,회 / 스시,만원-2만원,2,
54,한강초밥,서울특별시 용산구 이촌로 224 한강쇼핑센터 B1,정통 일식 / 일반 일식,만원-2만원,1,
55,스스무,서울특별시 용산구 이촌로75길 10-7,퓨전 일식,2만원-3만원,8,3.6
56,와세다야,서울특별시 용산구 이촌로 290,정통 일식 / 일반 일식,2만원-3만원,9,
57,유다,서울특별시 용산구 이촌로77길 19,이자카야 / 오뎅 / 꼬치,2만원-3만원,3,
58,소산,서울특별시 용산구 이촌로77길 19,정통 일식 / 일반 일식,3만원-4만원,8,
59,긴스시,서울특별시 용산구 이촌로 319 현대아파트 31동상가 110호,회 / 스시,4만원 이상,5,
60,우메,서울특별시 용산구 이촌로 319 현대아파트,회 / 스시,4만원 이상,7,
61,스시사이,서울특별시 용산구 이촌로64길 26 spe빌딩 2F,정통 일식 / 일반 일식,4만원 이상,4,
62,하나스시,서울특별시 용산구 이촌로64길 61,회 / 스시,4만원 이상,2,
63,우미스시,서울특별시 용산구 이촌로75길 12,회 / 스시,4만원 이상,4,
64,이촌 이잌,서울특별시 용산구 이촌로 264 삼익상가 B1,기타 일식,4만원 이상,1,
65,야래향,서울특별시 용산구 이촌로75길 22-5 2F,정통 중식 / 일반 중식,만원 미만,12,
66,미소루,서울특별시 용산구 이촌로 200 LG프라자,정통 중식 / 일반 중식,만원 미만,1,
67,더몽,서울특별시 용산구 이촌로75길 16-9,정통 중식 / 일반 중식,만원-2만원,8,
68,동강,서울특별시 용산구 이촌로 182,정통 중식 / 일반 중식,만원-2만원,4,
69,금홍,서울특별시 용산구 서빙고로 17 용산센트럴파크 해링턴스퀘어 1F,정통 중식 / 일반 중식,만원-2만원,13,
70,차이옌,서울특별시 용산구 이촌로88길 8,정통 중식 / 일반 중식,2만원-3만원,11,3.8
71,버블브레이크,서울특별시 용산구 이촌로 182,브런치 / 버거 / 샌드위치,만원 미만,6,
72,원샌드위치,서울특별시 용산구 이촌로 264 삼익아파트 상가동 903호,브런치 / 버거 / 샌드위치,만원 미만,1,
73,더피자사운즈,서울특별시 용산구 양녕로 445,기타 양식,만원-2만원,6,4.0
74,브루클린더버거조인트,서울특별시 용산구 이촌로 179 1F,브런치 / 버거 / 샌드위치,만원-2만원,21,3.7
75,카페멜랑,서울특별시 용산구 이촌로 248,브런치 / 버거 / 샌드위치,만원-2만원,7,3.6
76,나무와화덕피자집,서울특별시 용산구 이촌로75길 12,이탈리안,만원-2만원,15,3.4
77,키친아이,서울특별시 용산구 이촌로 248 한강맨션,이탈리안,만원-2만원,3,
78,핏제리아오,서울특별시 용산구 이촌로64길 61 장미맨션 1F,이탈리안,만원-2만원,2,
79,이촌의하루일과,서울특별시 용산구 이촌로 245 201호,기타 양식,만원-2만원,1,
80,쉐이드트리,서울특별시 용산구 이촌로64길 24,이탈리안,2만원-3만원,5,
81,샤넬다이닝라운지,서울특별시 용산구 이촌로75길 10-3,퓨전 양식,2만원-3만원,1,
82,포베이,서울특별시 용산구 이촌로77길 19,베트남 음식,만원 미만,3,
83,르번미,서울특별시 용산구 이촌로77길 19,베트남 음식,만원-2만원,64,3.5
84,앤테이블,서울특별시 용산구 양녕로 446 노들섬 3F,다국적 퓨전,만원-2만원,1,
85,동빙고,서울특별시 용산구 이촌로 319,카페 / 디저트,만원 미만,93,4.0
86,헬카페 스피리터스,서울특별시 용산구 이촌로 248 한강맨션 31동 208호,카페 / 디저트,만원 미만,37,3.9
87,브레드05,서울특별시 용산구 이촌로64길 61,베이커리,만원 미만,18,3.9
88,동빙고,서울특별시 용산구 이촌로 182,카페 / 디저트,만원 미만,16,3.6
89,뉴오리진,서울특별시 용산구 이촌로 208,카페 / 디저트,만원 미만,10,3.5
90,카페모스,서울특별시 용산구 이촌로 248 한강맨션11동상가 1F,카페 / 디저트,만원 미만,11,3.2
91,이촌브리오슈,서울특별시 용산구 이촌로 182 풍원상가,베이커리,만원 미만,4,
92,아티제,서울특별시 용산구 이촌로64길 6 1F,카페 / 디저트,만원 미만,6,
93,카모메,서울특별시 용산구 이촌로65가길 78,카페 / 디저트,만원 미만,9,
94,미스랄라,서울특별시 용산구 이촌로65가길 72,카페 / 디저트,만원 미만,10,
95,파리크라상,서울특별시 용산구 이촌로 245 로얄상가 1F,베이커리,만원 미만,9,
96,베이커스필드,서울특별시 용산구 이촌로 303,카페 / 디저트,만원 미만,6,
97,배재란커피클래스,서울특별시 용산구 이촌로65가길 78,카페 / 디저트,만원 미만,7,
98,제나나,서울특별시 용산구 이촌로 192 1F,베이커리,만원 미만,2,
99,커피앳웍스,서울특별시 용산구 이촌로 224 1F,카페 / 디저트,만원 미만,3,
100,바캉스온아일랜드카페,서울특별시 용산구 양녕로 446 노들섬 복합문화공간 1F,카페 / 디저트,만원 미만,4,
101,카페 붘,서울특별시 용산구 양녕로 446 2F,카페 / 디저트,만원 미만,4,
102,마린커피,서울특별시 용산구 이촌로88길 3 점보상가 1F 7호,카페 / 디저트,만원 미만,3,
103,커피공장103,서울특별시 용산구 이촌로18길 16,카페 / 디저트,만원 미만,3,
104,스노우볼,서울특별시 용산구 이촌로65가길 72 동인상가 107호,카페 / 디저트,만원 미만,4,
105,파리바게뜨,서울특별시 용산구 이촌로 278-1,베이커리,만원 미만,2,
106,스타벅스,서울특별시 용산구 이촌로 198,카페 / 디저트,만원 미만,2,
107,곤트란쉐리에,서울특별시 용산구 이촌로64길 26 에스피이빌딩 101호,베이커리,만원 미만,1,
108,Choi82,서울특별시 용산구 이촌로 100-4,베이커리,만원 미만,1,
109,코펜바인,서울특별시 용산구 이촌로 300 렉스상가 103호,카페 / 디저트,만원 미만,2,
110,한스,서울특별시 용산구 이촌로 303,카페 / 디저트,만원 미만,1,
111,정감,서울특별시 용산구 이촌로 264,카페 / 디저트,만원 미만,1,
112,한길포장마차,서울특별시 용산구 이촌로75길 16-9,전통 주점 / 포차,만원-2만원,8,4.3
113,골목집,서울특별시 용산구 이촌로65가길 72,일반 주점,만원-2만원,3,
114,인생의하이라이트,서울특별시 용산구 이촌로77길 19 이촌종합상가,치킨 / 호프 / 펍,만원-2만원,5,
115,이촌연가,서울특별시 용산구 이촌로 245,일반 주점,만원-2만원,3,
116,생활맥주,서울특별시 용산구 이촌로75길 16-9,치킨 / 호프 / 펍,만원-2만원,3,
117,브로스비어,서울특별시 용산구 이촌로77길 19,치킨 / 호프 / 펍,만원-2만원,1,
118,시실리,서울특별시 용산구 이촌로64길 61 장미맨숀상가 1F 9호,일반 주점,만원-2만원,1,
119,더 아래,서울특별시 용산구 이촌로84길 9-18 B1,칵테일 / 와인,2만원-3만원,10,4.0
