,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,신세계떡볶이,서울특별시 중구 명동9길 8-1,기타 한식,만원 미만,53,4.3
1,명동교자,서울특별시 중구 명동10길 10,국수 / 면 요리,만원 미만,122,4.2
2,뽀빠이호프치킨,서울특별시 용산구 후암로 48,닭 / 오리 요리,만원 미만,5,4.2
3,명동교자,서울특별시 중구 명동10길 29,국수 / 면 요리,만원 미만,305,4.0
4,목멱산방,서울특별시 중구 퇴계로20길 71,한정식 / 백반 / 정통 한식,만원 미만,57,3.8
5,명화당,서울특별시 중구 명동4길 30 2F,기타 한식,만원 미만,31,3.7
6,틈새라면,서울특별시 중구 명동10길 19-10,기타 한식,만원 미만,15,3.7
7,베테랑칼국수,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,국수 / 면 요리,만원 미만,10,3.7
8,반반국수,서울특별시 중구 퇴계로30길 15-3,국수 / 면 요리,만원 미만,13,3.4
9,원조남산왕돈까스,서울특별시 중구 소파로 107,기타 한식,만원 미만,17,3.3
10,한순자손칼국수,서울특별시 중구 남대문시장4길 39-1,국수 / 면 요리,만원 미만,9,3.2
11,함흥에겨울냉면,서울특별시 중구 동호로24길 21,국수 / 면 요리,만원 미만,11,3.1
12,101번지 남산돈가스,서울특별시 중구 소파로 101,기타 한식,만원 미만,14,2.8
13,미나미야마,서울특별시 중구 소파로 105,기타 한식,만원 미만,9,
14,필동분식,서울특별시 중구 퇴계로27길 14,기타 한식,만원 미만,7,
15,콩불,서울특별시 중구 명동6길 15,고기 요리,만원 미만,4,
16,양푼이동태탕,서울특별시 용산구 후암로 18,해산물 요리,만원 미만,4,
17,진두부집,서울특별시 중구 동호로24길 39,한정식 / 백반 / 정통 한식,만원 미만,12,
18,강남면옥,서울특별시 중구 명동7길 8 5F,국수 / 면 요리,만원 미만,4,
19,소공바지락칼국수,서울특별시 중구 남대문로 64-1,국수 / 면 요리,만원 미만,3,
20,명동할머니국수,서울특별시 중구 명동9길 17-3,국수 / 면 요리,만원 미만,4,
21,충무로백암순대국,서울특별시 중구 퇴계로 141 세룡빌딩,탕 / 찌개 / 전골,만원 미만,5,
22,간판없는떡볶이집,서울특별시 용산구 후암로 78,기타 한식,만원 미만,4,
23,꽃사슴떡볶이,서울특별시 중구 동호로25길 3,기타 한식,만원 미만,5,
24,루비떡볶이,서울특별시 중구 소공로 63 신세계백화점 신관 B1,기타 한식,만원 미만,5,
25,남산토리,서울특별시 중구 퇴계로20길 20,기타 한식,만원 미만,2,
