,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,만나식당,서울특별시 마포구 월드컵로 142,한정식 / 백반 / 정통 한식,만원 미만,14,3.8
1,김둘레순대국,서울특별시 마포구 월드컵북로 402 KGIT센터 1F,탕 / 찌개 / 전골,만원 미만,2,
2,고퀄분식,서울특별시 마포구 성암로 267,기타 한식,만원 미만,2,
3,순진김밥,서울특별시 마포구 성미산로 39,기타 한식,만원 미만,3,
4,상냥한그놈의밥상,서울특별시 마포구 월드컵북로54길 17,한정식 / 백반 / 정통 한식,만원 미만,1,
5,굴마을,서울특별시 마포구 월드컵로 196,해산물 요리,만원 미만,1,
6,청년다방,서울특별시 마포구 성미산로 7,기타 한식,만원 미만,2,
7,홍춘천치즈닭갈비,서울특별시 마포구 월드컵로34길 7 상암스위트포레 206호,닭 / 오리 요리,만원 미만,1,
8,본래순대,서울특별시 마포구 월드컵북로54길 17 사보이시티DMC,탕 / 찌개 / 전골,만원 미만,2,
9,두부공작소,서울특별시 마포구 매봉산로 75,한정식 / 백반 / 정통 한식,만원 미만,1,
10,옥합콩국수,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 1085호,기타 한식,만원 미만,3,
11,성산동칼국수집,서울특별시 마포구 모래내로 63,국수 / 면 요리,만원 미만,4,
12,팔미낙지한마리수제비,서울특별시 마포구 성미산로 80,해산물 요리,만원 미만,3,
13,어머니손맛밥상,서울특별시 마포구 성암로 45,한정식 / 백반 / 정통 한식,만원 미만,1,
14,전주비빔밥기사식당,서울특별시 마포구 성암로 31,한정식 / 백반 / 정통 한식,만원 미만,1,
15,해나옥,서울특별시 마포구 월드컵북로54길 25 푸르지오DMC시티 B1,탕 / 찌개 / 전골,만원 미만,1,
16,컬투치킨,서울특별시 마포구 성암로3길 8,닭 / 오리 요리,만원 미만,2,
17,마왕떡볶이,서울특별시 마포구 월드컵북로 402 KGIT센터,기타 한식,만원 미만,1,
18,양평해장국,서울특별시 마포구 월드컵북로 352,탕 / 찌개 / 전골,만원 미만,1,
19,성산왕갈비,서울특별시 마포구 월드컵북로 233 성산시영아파트내 상가,고기 요리,만원-2만원,19,4.0
20,남춘천닭갈비,서울특별시 마포구 월드컵로 118,닭 / 오리 요리,만원-2만원,9,3.5
21,월화고기,서울특별시 마포구 매봉산로2안길 12-6 1F,고기 요리,만원-2만원,10,3.3
22,홍익게장,서울특별시 마포구 월드컵북로 59 1F,한정식 / 백반 / 정통 한식,만원-2만원,14,3.2
23,지즐,서울특별시 마포구 월드컵북로 137,고기 요리,만원-2만원,1,
24,서교전집,서울특별시 마포구 잔다리로 134,한정식 / 백반 / 정통 한식,만원-2만원,5,
25,족발귀신,서울특별시 마포구 월드컵로 146 1F,고기 요리,만원-2만원,4,
26,강화통통생고기,서울특별시 마포구 월드컵로 144 1F,고기 요리,만원-2만원,3,
27,춘천신숯불닭갈비,서울특별시 마포구 매봉산로2안길 12-6 1F,닭 / 오리 요리,만원-2만원,5,
28,맛있는밥상차림,서울특별시 마포구 월드컵북로44길 76,한정식 / 백반 / 정통 한식,만원-2만원,3,
29,검은도마,서울특별시 마포구 월드컵북로 345 1F,고기 요리,만원-2만원,2,
30,용호낙지,서울특별시 마포구 월드컵북로54길 17 1F,탕 / 찌개 / 전골,만원-2만원,4,
31,고기식당도야지,서울특별시 마포구 모래내로1길 20,고기 요리,만원-2만원,3,
32,화포식당,서울특별시 마포구 월드컵북로54길 17 사보이시티 2F,고기 요리,만원-2만원,4,
33,토종골,서울특별시 마포구 월드컵북로 375 DMC이안오피스텔1단지,고기 요리,만원-2만원,3,
34,송추가마골인어반,서울특별시 마포구 성암로 267 MBC B1,탕 / 찌개 / 전골,만원-2만원,1,
35,땡땡이 양철집,서울특별시 마포구 성암로 46-3,고기 요리,만원-2만원,2,
36,선향정샤브샤브,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어,탕 / 찌개 / 전골,만원-2만원,1,
37,네네치킨,서울특별시 마포구 월드컵북로27길 19,닭 / 오리 요리,만원-2만원,1,
38,우리바다수산,서울특별시 마포구 월드컵로 102,해산물 요리,2만원-3만원,20,4.1
39,상암일미락,서울특별시 마포구 성암로13길 40,고기 요리,2만원-3만원,14,3.8
40,덕승재,서울특별시 마포구 월드컵북로 361 DMC이안상암2단지오피스텔 2F,한정식 / 백반 / 정통 한식,2만원-3만원,3,
41,외양간,서울특별시 마포구 성미산로 13,고기 요리,2만원-3만원,1,
42,제주간이회집,서울특별시 마포구 월드컵북로 73,해산물 요리,2만원-3만원,1,
43,명태공,서울특별시 마포구 월드컵로30길 5 1F,해산물 요리,2만원-3만원,2,
44,달콤한어부,서울특별시 마포구 월드컵북로48길 53,해산물 요리,2만원-3만원,1,
45,배꼽집,"서울특별시 마포구 월드컵북로54길 17 사보이시티DMC 중앙계단 206호, 210호",고기 요리,4만원 이상,7,
46,두레우가,서울특별시 마포구 월드컵북로 356,고기 요리,4만원 이상,1,
47,배꼽집,"서울특별시 마포구 월드컵북로54길 17 사보이시티DMC 중앙계단 206호, 210호",고기 요리,4만원 이상,7,
48,두레우가,서울특별시 마포구 월드컵북로 356,고기 요리,4만원 이상,1,
49,온돈부리,서울특별시 마포구 월드컵북로54길 17 상암 푸르지오시티 2F,돈부리 / 일본 카레 / 벤토,만원-2만원,5,4.1
50,모리타,서울특별시 마포구 월드컵북로44길 49 2F,정통 일식 / 일반 일식,만원-2만원,23,4.0
51,김영섭초밥,서울특별시 마포구 월드컵북로 352-18 1F,회 / 스시,만원-2만원,16,3.7
52,나랑가,서울특별시 마포구 성미산로 71,회 / 스시,만원-2만원,25,3.6
53,서노 스시,서울특별시 마포구 성산로2길 63,회 / 스시,만원-2만원,2,
54,하르,서울특별시 마포구 성미산로 24,회 / 스시,만원-2만원,1,
55,참치공방,서울특별시 마포구 월드컵북로 402 KGIT센터 201호,회 / 스시,만원-2만원,2,
56,가치,서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티 1F,이자카야 / 오뎅 / 꼬치,만원-2만원,1,
57,당가원,서울특별시 마포구 월드컵북로 173,정통 중식 / 일반 중식,만원 미만,12,3.9
58,피슈마라홍탕,서울특별시 마포구 매봉산로 80 Park M 1F,기타 중식,만원 미만,13,3.5
59,용심마라탕,서울특별시 마포구 매봉산로2길 9 2F,기타 중식,만원 미만,1,
60,천년각,서울특별시 마포구 월드컵로 164,정통 중식 / 일반 중식,만원 미만,1,
61,정원,서울특별시 마포구 월드컵북로12안길 69,정통 중식 / 일반 중식,만원 미만,2,
62,서룡,서울특별시 마포구 월드컵북로 361 DMC이안오피스텔,정통 중식 / 일반 중식,만원-2만원,5,3.7
63,바스버거,서울특별시 마포구 월드컵북로56길 19 드림타워 2F,브런치 / 버거 / 샌드위치,만원 미만,29,3.6
64,카페마마스,서울특별시 마포구 성암로 267 상암MBC 1F,브런치 / 버거 / 샌드위치,만원-2만원,8,
65,닥터로빈,서울특별시 마포구 매봉산로 75,이탈리안,만원-2만원,5,
66,매드포갈릭,서울특별시 마포구 성암로 255,이탈리안,만원-2만원,4,
67,브로일하우스,서울특별시 마포구 월드컵북로 396,브런치 / 버거 / 샌드위치,만원-2만원,1,
68,베란다,서울특별시 마포구 월드컵로 120,이탈리안,만원-2만원,2,
69,마치래빗,서울특별시 마포구 월드컵북로 402 KGIT센터 128호,기타 양식,만원-2만원,4,
70,아고야,서울특별시 마포구 월드컵북로 352-14 B1,스테이크 / 바베큐,2만원-3만원,2,
71,포나향,서울특별시 마포구 성미산로 86 2F,베트남 음식,만원 미만,5,
72,싸이공레시피,서울특별시 마포구 성미산로 29-1,베트남 음식,만원 미만,2,
73,생어거스틴,서울특별시 마포구 월드컵북로58길 10 더팬빌딩 2F,태국 음식,만원-2만원,3,
74,하노이의아침,서울특별시 마포구 월드컵북로 396,베트남 음식,만원-2만원,5,
75,훈고링고브레드,서울특별시 마포구 잔다리로 130 2F,카페 / 디저트,만원 미만,10,4.0
76,사월의물고기,서울특별시 마포구 성미산로 89 1F,카페 / 디저트,만원 미만,5,4.0
77,리치몬드과자점,서울특별시 마포구 월드컵북로 86,베이커리,만원 미만,38,4.0
78,토스티 서울 x horizon16,서울특별시 마포구 성미산로13길 107,카페 / 디저트,만원 미만,10,4.0
79,칼라스커피 로스터스,서울특별시 마포구 월드컵북로16길 16 1F,카페 / 디저트,만원 미만,8,4.0
80,카페톤,서울특별시 마포구 성미산로1길 26 1F,카페 / 디저트,만원 미만,10,3.8
81,카페모임,서울특별시 마포구 매봉산로 72,카페 / 디저트,만원 미만,14,3.5
82,홍콩다방,서울특별시 마포구 월드컵북로 132,카페 / 디저트,만원 미만,5,
83,커피아람빈스,서울특별시 마포구 월드컵북로48길 57,카페 / 디저트,만원 미만,1,
84,쇼콜라윰,서울특별시 마포구 월드컵북로7길 76-14,카페 / 디저트,만원 미만,8,
85,레이브에스프레소바,서울특별시 마포구 성미산로1길 67,카페 / 디저트,만원 미만,4,
86,더브래드팬트리,서울특별시 마포구 매봉산로2길 64,베이커리,만원 미만,4,
87,키다리아저씨,서울특별시 마포구 성미산로 22,베이커리,만원 미만,4,
88,엔타이스,서울특별시 마포구 성미산로 58 1F 101호,카페 / 디저트,만원 미만,6,
89,브리오슈도레,서울특별시 마포구 성암로 267 MBC몰 1F,베이커리,만원 미만,3,
90,너도 안녕,서울특별시 마포구 성암로15길 45,카페 / 디저트,만원 미만,2,
91,꼬뺑,서울특별시 마포구 월드컵로42길 40,베이커리,만원 미만,1,
92,고디바,서울특별시 마포구 성암로 267 MBC Mall Park 1F,카페 / 디저트,만원 미만,1,
93,도깨비커피집,서울특별시 마포구 동교로27길 80,카페 / 디저트,만원 미만,4,
94,커피코트,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 1F,카페 / 디저트,만원 미만,3,
95,브래드비,서울특별시 마포구 월드컵북로 402,카페 / 디저트,만원 미만,8,
96,마르메종과자점,서울특별시 마포구 월드컵북로 236,베이커리,만원 미만,2,
97,투썸플레이스,서울특별시 마포구 월드컵로36길 14,카페 / 디저트,만원 미만,2,
98,빵사랑,서울특별시 마포구 월드컵북로 185,베이커리,만원 미만,1,
99,먼스 스컬프쳐,서울특별시 마포구 성산로2길 21-31,카페 / 디저트,만원 미만,2,
100,츄카롱,서울특별시 마포구 성암로13길 30-2,카페 / 디저트,만원 미만,1,
101,폴바셋,서울특별시 마포구 성암로 267 MBC몰파크 103호,카페 / 디저트,만원 미만,2,
102,카페무띠,서울특별시 마포구 매봉산로 45 KBS미디어센터,카페 / 디저트,만원 미만,1,
103,모카리아,서울특별시 마포구 월드컵북로44길 76-12,카페 / 디저트,만원 미만,1,
104,커피코트,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 1F,카페 / 디저트,만원 미만,3,
105,브래드비,서울특별시 마포구 월드컵북로 402,카페 / 디저트,만원 미만,8,
106,마르메종과자점,서울특별시 마포구 월드컵북로 236,베이커리,만원 미만,2,
107,투썸플레이스,서울특별시 마포구 월드컵로36길 14,카페 / 디저트,만원 미만,2,
108,빵사랑,서울특별시 마포구 월드컵북로 185,베이커리,만원 미만,1,
109,먼스 스컬프쳐,서울특별시 마포구 성산로2길 21-31,카페 / 디저트,만원 미만,2,
110,츄카롱,서울특별시 마포구 성암로13길 30-2,카페 / 디저트,만원 미만,1,
111,폴바셋,서울특별시 마포구 성암로 267 MBC몰파크 103호,카페 / 디저트,만원 미만,2,
112,카페무띠,서울특별시 마포구 매봉산로 45 KBS미디어센터,카페 / 디저트,만원 미만,1,
113,모카리아,서울특별시 마포구 월드컵북로44길 76-12,카페 / 디저트,만원 미만,1,
114,배스킨라빈스,서울특별시 마포구 월드컵로 150,카페 / 디저트,만원 미만,1,
115,커피코트,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 1F,카페 / 디저트,만원 미만,3,
