,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,일흥콩나물국밥,서울특별시 성북구 고려대로5길 77,탕 / 찌개 / 전골,만원 미만,9,4.4
1,고른햇살,서울특별시 성북구 개운사길 27,기타 한식,만원 미만,25,4.3
2,성북동누룽지백숙,서울특별시 성북구 성북로31길 9,국수 / 면 요리,만원 미만,10,4.3
3,참나무닭나라,서울특별시 성북구 동소문로8길 12,닭 / 오리 요리,만원 미만,14,4.3
4,수아당,서울특별시 성북구 동소문로20가길 33 1F,기타 한식,만원 미만,10,4.2
5,팔백집,서울특별시 성북구 보문로30길 46,고기 요리,만원 미만,5,4.1
6,동우설렁탕,서울특별시 성북구 개운사길 45,탕 / 찌개 / 전골,만원 미만,10,4.1
7,이공김밥,서울특별시 성북구 안암로 61-6,기타 한식,만원 미만,18,4.1
8,국시집,서울특별시 성북구 창경궁로43길 9,국수 / 면 요리,만원 미만,10,4.0
9,봉화묵집,서울특별시 성북구 아리랑로19길 46-2,한정식 / 백반 / 정통 한식,만원 미만,15,4.0
10,호랑이김밥,서울특별시 성북구 성북로 18,기타 한식,만원 미만,5,4.0
11,돈암순대,서울특별시 성북구 동소문로18길 12-3,탕 / 찌개 / 전골,만원 미만,14,3.9
12,제순식당,서울특별시 성북구 동소문로20다길 30-9,한정식 / 백반 / 정통 한식,만원 미만,35,3.7
13,성북동돼지갈비집,서울특별시 성북구 성북로 115,고기 요리,만원 미만,17,3.7
14,태조감자국,서울특별시 성북구 보문로34길 43 세학빌딩,탕 / 찌개 / 전골,만원 미만,25,3.7
15,오박사네왕돈가스,서울특별시 성북구 혜화로 80,기타 한식,만원 미만,20,3.6
16,구포국수,서울특별시 성북구 성북로 52-1,국수 / 면 요리,만원 미만,10,3.6
17,돈까스하우스,서울특별시 성북구 고려대로27길 15 2F,기타 한식,만원 미만,15,3.6
18,석관시장떡볶이,서울특별시 성북구 돌곶이로18길 27-9,기타 한식,만원 미만,5,3.6
19,서울쌈냉면,서울특별시 성북구 개운사길 21-4,국수 / 면 요리,만원 미만,16,3.6
20,유자유김치떡볶이,서울특별시 성북구 인촌로24길 47,기타 한식,만원 미만,45,3.5
21,삼통치킨,서울특별시 성북구 인촌로24길 60,닭 / 오리 요리,만원 미만,28,3.5
22,치즈를사랑한찜닭,서울특별시 성북구 개운사길 21-3 2F,닭 / 오리 요리,만원 미만,8,3.5
23,금왕돈까스,서울특별시 성북구 성북로 138,기타 한식,만원 미만,5,3.4
24,쌍다리돼지불백,서울특별시 성북구 성북로23길 4,한정식 / 백반 / 정통 한식,만원 미만,10,3.3
25,추억의 옛날떡볶이,서울특별시 성북구 동소문로22길 39-5,기타 한식,만원 미만,10,3.3
26,온달왕돈까스,서울특별시 성북구 동소문로20가길 4,기타 한식,만원 미만,5,3.1
27,손가네,서울특별시 성북구 성북로15길 8,탕 / 찌개 / 전골,만원 미만,7,
28,고대맛집ㅋㅋ,서울특별시 성북구 안암로9가길 80-17,기타 한식,만원 미만,9,
29,안동할매청국장,서울특별시 성북구 성북로5길 9-3,탕 / 찌개 / 전골,만원 미만,1,
30,우리밀국시,서울특별시 성북구 혜화로 84-2,국수 / 면 요리,만원 미만,7,
