,가게이름,리뷰,맛평가
0,엘림들깨수제비칼국수,설명이 필요없는 식당이죠. 개인적으로 들깨요리가 꼭 먹고싶다 땡기지는 않는 편인데 가서 먹어보면 왜 이걸 안먹었지 싶은 만족감이 가득한 집. 추천해요,맛있다
1,엘림들깨수제비칼국수,"들깨칼국수부터 비빔밥, 수육까지 맛볼 수 있는 푸짐한 가게!주문 메뉴: 들깨칼국수분위기: 요즘 분위기의 트렌드한 가게는 아니고 그냥 동네 칼국수집 같은 곳. 인기가 많아서 손님이 끊임없이 들어온다.양: 들깨칼국수만 시켰을 뿐인데 에피타이저로 간단한 보리비빔밥과 수육, 칼국수까지 푸짐하게 즐길 수 있다. 메인인 들깨칼국수 양도 푸짐하다.질: 보리비빔밥은 그냥 딱 아는 맛. 수육은 촉촉하고 부드럽다. 들깨칼국수는 들깨 맛이 제대로 나는 고소한 칼국수. 김치가 좀 짜다 생각했는데 칼국수랑 잘 어울리는 맛이다. 고소함 가득한 들깨칼국수 먹다가 좀 질릴까 싶을 때 김치가 개운하게 만들어준다. 전체적으로 밸런스가 좋은 가게.추천이유: 이 가격에 이렇게 여러 요리를 이정도 퀄리티로 다 맛볼 수 있다니!",맛있다
2,엘림들깨수제비칼국수,첫 리뷰를 쓸때 6천원이였던 칼제비가 지금은 9천원으로 올랐다. 하지만 여전히 가성비는 훌륭하다. 보리밥 - 보쌈 - 칼제비로 이어지는 구성은 똑같고 맛도 변치 않았다. 부드럽고 고소한 칼제비와 아삭한 겉절이. 그리고 부드러운 보쌈까지. 서울 강북구의 대표 칼국수가 아닌가 싶다. 요즘엔 밀키트도 판매하던데 기회되면 도전해봐야지.,맛있다
3,엘림들깨수제비칼국수,"들깨칼국수 좋아하는 1인공구로 밀키트를 주문하여 집에서 손쉽게 조리!본점은 우리집에서 거리도 상당하니 이렇게 간편히 유명 들깨칼국수와 김치를 먹을 수 있음에 상당히 만족함.육수분말, 매우 새롭게 껍질을 벗겨 곱게 빻은 들깨가루, 매밀면으로 후루룩 식사 한끼 완료",맛있다
4,엘림들깨수제비칼국수,"칼제비 2인. 웨이팅이 사악하게 길기때문에 이로인한 쇼크 주의. 애매모호한 4시타이밍에 가서, 이마저도 15분정도 웨이팅 후 착석. 그런데 의외로.. 처음 먹었었던 그 센세이션은 없고 뭔가 '맛있긴하지만 이걸 2시간씩 기다려서 먹는단 말인가요?' 싶은 맛. 그 긴 시간을 감수하지 마십시오,, 기대하지 않은 수육+보리밥이 센세이션이었는데, 사람들이 수육때문에 줄을 서는 것같진 않고. 약간 미스테리. 이번 방문은 재방문 한거지만, 앞으로는 재방문 의사 없음. (웨이팅이 없다면 수육은 먹으러 갈 수 있을듯? 그러나 멀리서 갈 정도는 아닌듯하다)",괜찮다
5,엘림들깨수제비칼국수,짱맛짱맛,맛있다
6,엘림들깨수제비칼국수,"와 여기는….진짜 찐이에요 ㅋ 제발 가보세욤, 들깨칼국수 안좋아하시는 분들도 한번만 가보세요:)여기 다닌지는 이미 몇년전인데  여기 다니기전에는 들깨칼국수 안좋아했는데 여기서 한번 먹고는 이제는 꽤 잘먹어요. 물론 먹을때마다 엘림이 낫네…하면서 약간 실망하기는 하지만ㅋㅋ들깨국물이 진짜 걸죽하고 진해요. 거의 콩국수국물수준으로 뽀얀색이라 칼국수 국물이라기 보다는 들깨죽 먹는 느낌이에요. 실제로도 저는 가면 면이나 수제비 건더기보다는 국물위주로 먹어요!먹기전에 열무비빔보리밥을 에피타이져로 주고, 수육도 몇점나와요 거기에 양푸짐한 칼국수까지.한번도 국물끝까지 다 먹고 와본적이 없을정도로 양도 많아서 진짜 가성비라는걸 실감하고 옵니다.",맛있다
7,엘림들깨수제비칼국수,맛있다.,맛있다
8,엘림들깨수제비칼국수,"여기서 먹은 들깨 칼국수를 뭐라고 칭찬해야 할까 한참을 고민했다. 내 변변찮은 필력으로는 뭐라고 이야기해도 충분하지 않으리라는 것을 깨닫고는, 그냥 '맛있다'하나 추가하는 것으로 만족하기로 했다. 정말 맛있는 곳이니까.",맛있다
9,엘림들깨수제비칼국수,칼제비는 여전히 맛있어요~근데 김치가 너무 짰어요.,맛있다
10,엘림들깨수제비칼국수,"수제비, 김치, 만두, 수육 모두 맛있어요.들깨 국물도 너무 좋아요:)",맛있다
11,엘림들깨수제비칼국수,"감동적입니다. 저는 서민이라 저렴한 가격에 푸짐한 음식점을 사랑합니다. 이곳에서 1인당 7천원 내고 먹은(사진은 2인분) 들깨칼제비는 맛도 좋고 정말 푸짐합니다. 칼제비 먹기 전에 보리밥 한그릇 슥삭 비벼먹고, 감칠맛 나는 겉절이와 김치에 담백한 칼제비를 후루룩 먹고 있는데 갑자기 등장한 수육 한접시? 잉? 저희 수육 안시켰는데? 했더니만 원래 주는 거랍니다~ 세상에나, 맛도 좋고 인심 좋고 다음에도 또 가고 싶은 맛집",맛있다
12,엘림들깨수제비칼국수,어휴 여기 진짜 맛있어요저렴하고 양많은 동시에 맛도 있어요북한산 등산갔다가 내려와서 먹으면 맛있음이 배가 되어요등산안갔다와서 구냥 먹어도 맛잇어요,맛있다
13,엘림들깨수제비칼국수,엘림 매우 맛있당근처 주차도 못할정도로 사람도 많다,맛있다
14,엘림들깨수제비칼국수,가격에서 일단 합격인데 맛도좋다밀가루 덜익은 풋내도 안나고 그렇다고 푹익어서퍼지지도 않음보리밥도 탱글탱글 씹히니 기분좋아지는 맛이다주인분도 굉장히 친절하심!테이블간격이 좁은건 약간아쉽다 ㅠㅠ,맛있다
15,엘림들깨수제비칼국수,맛은 그럭저럭..어쩌다가 방송타서 유명해졌는지 모르겠지만 여기사장 정말 어이없음..돈좀 벌어서 인지 손님알기를 그지처럼 대함..정말 기분나쁜집,별로
16,엘림들깨수제비칼국수,들깨칼국수가 먹고싶을 때마다 들르는 곳. 입요기로 세 입정도 양의 보리 비빔밥이 입맛을 돋구워 주고 어느정도 허기가 가시면 나오는 들깨칼국수는 고소하다. 이 집은 특히 김치가 맛있어서 김치랑 칼국수랑 같이 한 입 왕 먹으면 없던 식욕도 되살아난다. 서비스로 주는 보쌈도 부드러우며 그 맛이 매우 훌륭.,맛있다
17,엘림들깨수제비칼국수,만약 엘림이 위치가 강남이었으면 지금의 3배는 더 잘 됐었을텐데 하면서 감사히 먹었다.들깨가 아주 깨끗하게 담백하고 아쥬 고소하다!거기다 보리밥에 수육까지 주는데 이 수육이 또 사람 놀라게 한다. 진짜 부드러워서 감격..ㅠㅠ이 모든게 7천원이라니 정말 감사합니다 감사합니다 라는 말이 절로 나온다.다만 어디서도 볼 수 없는 테이블 간격ㅋㅋㅋ이럴거면 그냥 붙여주세요ㅋㅋㅋ 미세하게 떨어트려 놓으면 뭐합니까ㅋㅋㅋㅋ 아무튼 사랑해요 엘림!,맛있다
18,엘림들깨수제비칼국수,"들깨칼국수 하면 엘림이지. 강북사는거...뭐 딱히 좋지않은데 그나마 위안을 찾자면 여기 걸어갈 수 있다는 것 정도가 될 정도로 아주 좋음. 저렴한 가격, 좋은 반찬, 깊은 맛 굿굿.",맛있다
19,엘림들깨수제비칼국수,"맛이 가성비에 묻힌 곳 7000원에 보리밥,수육,들깨칼국수.. 맛이 묻혀버림..두종류의 김치는 각각 다른 매력으로 엄청 맛있다맛있어서 리필요청은 기본임.. 가끔은 리필요청을 안해도 알아서 더 주실 때가 있다ㅎㅎ올해 물가상승한 곳이 많은데 여전히 7000원을 고수하는 맛집 중의 맛집 ㅠ또 최근에는 의자+테이블로 변경해서 훨씬 깔끔해졌다안가면 바보",맛있다
20,엘림들깨수제비칼국수,나만 알고싶은 맛집이지만 너무 유명해져서 아쉽기까지 한 맛집!! 식전 보리밥과 맛보기수육까지 엄청 맛있는 곳‍♂️,맛있다
21,엘림들깨수제비칼국수,"아 진짜 너무 맛있게 먹었다.칼제비2인 시키면 미니보리밥, 수육을 먼저 내어 주시는데 둘다 이정도면 훌륭! 묵은 김치와 겉절이를 주시는데 둘다 넘나 맛있음!! 칼제비 2인 처음에 받고 양이 좀 적나 싶었는데 다 먹을 때 쯤 되면 정말 배부르다. 수제비는 부드러우면서도 적당히 쫄깃하다. 국물은 정말 크리미한데 너무 고소해서 정말 바닥까지 긁어먹었다 ㅠㅠㅠㅠ",맛있다
22,엘림들깨수제비칼국수,건강한 꿀맛,맛있다
23,엘림들깨수제비칼국수,여긴 진짜다!들깨가 느끼하지 않다는걸 느꼈다.주차가 불편한게 단점.,맛있다
