,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,애성회관,서울특별시 중구 남대문로5길 23,탕 / 찌개 / 전골,만원 미만,15,4.5
1,부민옥,서울특별시 중구 다동길 24-5,탕 / 찌개 / 전골,만원 미만,45,4.3
2,진주회관,서울특별시 중구 세종대로11길 26,국수 / 면 요리,만원 미만,5,4.2
3,남해식당,서울특별시 중구 남대문시장4길 42-1,국수 / 면 요리,만원 미만,5,4.2
4,농민백암순대,서울특별시 중구 남대문로1길 33,탕 / 찌개 / 전골,만원 미만,29,4.1
5,통통김밥,서울특별시 중구 남대문시장2가길 6-13,기타 한식,만원 미만,6,4.1
6,광화문 몽로,서울특별시 중구 세종대로21길 40,닭 / 오리 요리,만원 미만,36,4.0
7,유림면,서울특별시 중구 서소문로 139-1,국수 / 면 요리,만원 미만,65,4.0
8,가메골손왕만두,서울특별시 중구 남대문시장4길 42,한정식 / 백반 / 정통 한식,만원 미만,36,4.0
9,남대문야채호떡,서울특별시 중구 남대문로 12,기타 한식,만원 미만,31,4.0
10,현대칼국수,서울특별시 중구 세종대로 76 청남빌딩,국수 / 면 요리,만원 미만,20,4.0
11,송옥,서울특별시 중구 남대문로1길 11,국수 / 면 요리,만원 미만,5,3.9
12,중림장설렁탕,서울특별시 중구 청파로 459-1,탕 / 찌개 / 전골,만원 미만,27,3.9
13,잼배옥,서울특별시 중구 세종대로9길 68-9,탕 / 찌개 / 전골,만원 미만,8,3.9
14,닭칼원조집,서울특별시 중구 청파로 435 1F,닭 / 오리 요리,만원 미만,10,3.9
15,덕수정,서울특별시 중구 정동길 41,탕 / 찌개 / 전골,만원 미만,5,3.9
16,북창동순두부,서울특별시 중구 세종대로 78 디지틀조선일보빌딩 2F,탕 / 찌개 / 전골,만원 미만,7,3.8
17,이북만두,서울특별시 중구 무교로 17-13,한정식 / 백반 / 정통 한식,만원 미만,15,3.5
18,제주산방식당,서울특별시 중구 세종대로 39,국수 / 면 요리,만원 미만,5,3.5
19,부원면옥,서울특별시 중구 남대문시장4길 41-6 부원상가 2F,국수 / 면 요리,만원 미만,5,3.3
20,진주집,서울특별시 중구 남대문시장길 22-2,탕 / 찌개 / 전골,만원 미만,5,3.2
21,오징어풍경,서울특별시 중구 다동길 5 광일빌딩 1F,한정식 / 백반 / 정통 한식,만원 미만,15,
22,전주유할머니비빔밥,서울특별시 중구 세종대로14길 27-2,기타 한식,만원 미만,4,
23,부추밭,서울특별시 중구 남대문로9길 40 센터플레이스 2F,한정식 / 백반 / 정통 한식,만원 미만,3,
